position,sample,stable.control,stable.temp,duration,start,end,density
A1,50_control_A,7,7,91,10,101,8000
A2,100_control_A,7,7,91,10,101,8000
A3,200_control_A,7,7,91,10,101,8000
A4,50_15_A,7,7,91,10,101,13333
A5,100_15_A,7,7,26,10,36,8000
A6,200_15_A,7,7,91,10,101,8000
B1,50_control_B,7,7,91,10,101,8000
B2,100_control_B,7,7,91,10,101,8000
B3,200_control_B,7,7,91,10,101,8000
B4,50_15_B,7,7,91,10,101,8000
B5,100_15_B,7,7,91,10,101,8000
B6,200_15_B,7,7,91,10,101,13333
C1,50_control_C,7,7,91,10,101,8000
C2,100_control_C,7,7,91,10,101,8000
C3,200_control_C,7,7,91,10,101,8000
C4,50_15_C,7,7,91,10,101,8000
C5,100_15_C,7,7,91,10,101,8000
C6,200_15_C,7,7,91,10,101,4000
D1,50_control_D,7,7,91,10,101,8000
D2,100_control_D,7,7,91,10,101,8000
D3,200_control_D,7,7,91,10,101,8000
D4,50_15_D,7,7,91,10,101,8000
D5,100_15_D,7,7,91,10,101,8000
D6,200_15_D,7,7,91,10,101,4000
